index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,1.101,3.903,Of the Sustainability and Renters' rights Council.,0,,
1,0.97,3.903,13.213,Will the clerk please call the role for the committee?,0,,
2,0.97,13.213,15.048,Councilmember Sawant?,1,,
3,0.97,15.048,17.851,Here.,2,,
4,0.97,17.851,20.754,Councilmember morale us?,3,,
5,0.97,27.961,33.533,Councilmember Teresa Mosqueda?,4,,
6,0.97,33.533,41.174,Councilmember Peterson?,4,,
7,0.97,41.174,47.147,Councilmember Weiss?,4,,
8,0.97,47.147,48.948,One the present.,4,,
9,0.97,48.948,52.385,Thank you.,5,,
10,0.97,52.385,58.491,This meeting does not have a Quorum of three Councilmembers specified by the Council rules.,5,,
11,0.97,58.491,63.496,I want to clarify two members of the public that the Council rules are not a law.,5,,
12,0.97,63.496,68.201,Following or not following these Council rules or protocols is not a legal question.,5,,
13,0.97,68.201,77.61,"For the most part, in my view, these are set up to help the political establishment.",5,,
14,0.97,77.61,93.293,"As a Councilmember, as many of you may have is observed, I generally follow these protocols and conventions, but not when they are used by the political establishment as a lever to try to hinder ordinary people and grassroots movements as they are in this case with all Councilmembers boycotting this Committee.",5,,
15,0.97,93.293,104.637,We do have more than a Quorum of workers prepared to speak on the agenda items.,5,,
16,0.97,104.637,113.947,"To me, as a representative of working people, and not be political establishment, that is far more important.",5,,
17,0.97,113.947,129.162,"It is unfortunate, but not surprising that the political establishment is choosing to boycott any and all discussion about taxing big business to address the triple emergency of Covid housing and climate change.",5,,
18,0.97,129.162,156.389,"However, as I said, there is no law in continuing this committee meeting without other Councilmembers present, so we will not allow the big business loyalty boycott to prevent this discussion of workers, and I am very excited about tonight's committee as the next step in our movement, not only for the Amazon tax, but also to build Renter power to fight against what could be a massive wave of Evictions in the face of the historic joblessness in our society.",5,,
19,0.97,156.389,168.902,"Since 2017, we have been led by working people and community members, and they have been fighting for the Amazon tax to advance green new deal programs.",5,,
20,0.97,168.902,185.218,"We are here tonight, thanks only to that kind of movement and thanks to ordinary people, working people, the vulnerable in our society, and also progressive small business owners and landlords throughout our movement.",5,,
21,0.97,185.218,208.207,"We are here specifically to extend our discussion about the tax Amazon legislation, cosponsored by me and by Tammy morale us and strengthening Renters rights and how we can support grassroots organizing for a full suspension without consequences of rent, mortgage, and utility payments.",5,,
22,0.97,208.207,213.546,We will have two meetings on the legislation and the select budget Committee on April 22 and 29th.,5,,
23,0.97,213.546,239.672,"But, before the first meeting, before the current meeting scheduled for May 13, the establishment led by Councilmembers Gonzales and Colbert said that to fund Covid relief green new deal somehow mysteriously was not emergency legislation responding to the Covid crisis.",5,,
