index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,5.705,11.311,Of the Seattle city council will come to order . I am president of the Council.,0,,
1,0.97,11.311,16.549,Will the clerk please call the role?,0,,
2,0.97,16.549,20.854,Herbold?,1,,
3,0.97,20.854,23.723,Here.,2,,
4,0.97,23.723,24.524,Juarez?,3,,
5,0.97,24.524,26.059,Here.,4,,
6,0.97,26.059,27.761,Lewis?,5,,
7,0.97,27.761,29.629,Present.,6,,
8,0.97,29.629,34.467,Mosqueda?,7,,
9,0.97,34.467,35.268,Pedersen?,8,,
10,0.97,35.268,36.069,Here.,9,,
11,0.97,36.069,37.871,Sawant?,10,,
12,0.97,37.871,38.338,Present.,11,,
13,0.97,38.338,39.339,Strauss?,12,,
14,0.97,39.339,40.573,Present.,13,,
15,0.97,40.573,42.375,President Gonzalez?,14,,
16,0.97,42.375,43.777,Present.,15,,
17,0.97,43.777,46.012,Seven present.,16,,
18,0.97,46.012,52.152,Councilmember Mosqueda was not able to join us this afternoon.,17,,
19,0.97,52.152,55.188,She is feeling under the weather.,17,,
20,0.97,55.188,67.767,"Hearing no objection, Councilmember Mosqueda is excused from today's meeting.",17,,
21,0.97,67.767,70.47,We send her our best wishes and we hope she feels better soon.,17,,
22,0.97,70.47,72.105,"Presentations, I am not aware of any.",18,,
23,0.97,72.105,73.907,"The minutes of July 19th, 2021 have been reviewed.",18,,
24,0.97,73.907,75.909,"If there are no objections, the minutes will be signed.",18,,
25,0.97,75.909,81.181,"Hearing no objection, the minutes will be signed.",18,,
26,0.97,81.181,83.216,Will the clerk please affix my signature to the minutes?,18,,
27,0.97,83.216,87.454,Approval of the introduction or referral calendar.,19,,
28,0.97,87.454,91.925,"Hearing no objection, it is adopted.",19,,
29,0.97,91.925,94.327,I will move to adopting the agenda.,20,,
30,0.97,94.327,97.831,I moved to adopt the agenda.,20,,
31,0.97,97.831,99.099,Is there a second?,20,,
32,0.97,99.099,99.466,Second.,21,,
33,0.97,99.466,109.442,It has been second and to adopt the agenda.,22,,
34,0.97,109.442,113.947,"Councilmember Herbold, I understand you have a motion to make on the agenda, so I will recognize you to make that motion.",22,,
35,0.97,113.947,114.914,Thank you very much.,23,,
36,0.97,114.914,126.659,I will move to hold Council bill 120119. we are holding that until August 9th.,23,,
37,0.97,126.659,130.163,I will second that motion.,24,,
38,0.97,130.163,131.364,It has been moved and Seconded.,24,,
39,0.97,131.364,141.741,"Council bill 120119 held until August, 2021.",24,,
40,0.97,141.741,143.576,"Councilmember Herbold, any additional comments on the motion?",24,,
41,0.97,143.576,144.978,I have nothing further to add.,25,,
42,0.97,144.978,150.884,"This is on behalf of Councilmember Mosqueda, who is not with us today.",25,,
43,0.97,150.884,158.591,Are there any additional questions or comments on the motion to hold Council bill 120119 until August 9th?,26,,
44,0.97,158.591,161.161,"Councilmember Sawant, please.",26,,
45,0.97,161.161,169.169,"Just to confirm, this is the motion related to grocery worker hazard pay?",27,,
46,0.97,169.169,170.003,Yes.,28,,
47,0.97,170.003,171.571,Yes.,28,,
48,0.97,171.571,173.773,We are only holding it until August 9th.,28,,
49,0.97,173.773,176.276,Right.,29,,
50,0.97,176.276,176.643,Thank you.,29,,
51,0.97,176.643,185.985,"I support the motion to hold this ordinance, the vote on this ordinance until the later date.",29,,
52,0.97,185.985,188.888,"However, I just wanted to make a few comments quickly about the ordinance itself.",29,,
53,0.97,188.888,210.543,The ordinance itself is something that will strip grocery workers of hazard pay three years earlier than was determined by the ordinance that offered hazard pay to grocery workers last year.,29,,
54,0.97,210.543,221.354,Hazard pay ordinance the council passed last year required big grocery workers to pay workers an additional $4.00 an hour in hazard pay for the dangers they undertake doing essential work during the pandemic.,29,,
55,0.97,221.354,228.261,Their work brings them into contact with so many people throughout the day every day.,29,,
56,0.97,228.261,236.235,The hazard pay ordinance lasted three years until the end of the public health emergency.,29,,
57,0.97,236.235,247.547,"The public health emergency is not over yet and I think it is absolutely premature to talk about stripping the hazard pay, or stripping is essential workers of their hazard pay.",29,,
58,0.97,247.547,250.383,I do not agree with that.,29,,
59,0.97,250.383,256.089,I don't think it is late enough in August either.,29,,
60,0.97,256.089,262.595,I would like to tell members of the public what my position is.,29,,
61,0.97,262.595,270.903,Holding it is the least thing that should be done . We should at least maintain the hazard pay for the originally determined three years.,29,,
62,0.97,270.903,283.816,"If Councilmembers agree with me, we can just vote no on stripping grocery workers of hazard pay altogether and keep the original three here requirement.",29,,
63,0.97,283.816,287.587,Thank you.,29,,
64,0.97,287.587,289.422,"Thank you, Councilmember Sawant.",30,,
