index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,10.41,10.744,Ready?,0,,
1,0.97,10.744,13.213,We are ready.,1,,
2,0.97,13.213,16.216,Good morning.,2,,
3,0.97,16.216,17.016,Welcome.,2,,
4,0.97,17.016,22.922,"December 8, 2020 meeting of the public safety human services is coming to order.",2,,
5,0.97,22.922,26.226,It is 9:30 A.M.,2,,
6,0.97,26.226,31.865,"Local clerk, call the roll.",2,,
7,0.97,31.865,34.934,President Gonzales.,3,,
8,0.97,34.934,35.201,Here.,4,,
9,0.97,35.201,38.772,Councilmember Lewis.,5,,
10,0.97,38.772,39.105,Present.,6,,
11,0.97,39.105,41.441,Councilmember Morales.,7,,
12,0.97,41.441,41.674,Here.,8,,
13,0.97,41.674,43.843,Councilmember Pedersen.,9,,
14,0.97,43.843,47.947,Here.,10,,
15,0.97,47.947,48.548,And Councilmember.,10,,
16,0.97,48.548,58.691,"The Council rules are silent on allowing remote meetings and electronic participation, to allow this meeting to conduct this this.",11,,
17,0.97,58.691,61.361,Counsel rules will need to be suspended.,11,,
18,0.97,61.361,73.506,If there's no objection the Council roles will be suspended to allow today's public safety and human services committee meeting to meet remotely and participate electronically.,11,,
19,0.97,73.506,81.014,Hearing no objection the Council rules are suspended and the county will continue with this remote meeting.,11,,
20,0.97,81.014,86.82,On today's agenda we will hear that 2020 semi annual police accountability report.,12,,
21,0.97,86.82,120.72,"We will hear counsel bill 1190 9074 granting a process to the OPA and Oig, office of police accountability and office of Inspector general, a process for them to use their subpoena power and finally we will continue our conversation that started during the budget process and have a discussion on the proposal for a misdemeanor basic needs defense.",12,,
22,0.97,120.72,126.126,"We will not be voting, taking action on any of these items today.",12,,
23,0.97,126.126,130.83,We will now approve our agenda for the committee meeting.,12,,
24,0.97,130.83,133.833,"If there is no objection, today's agenda will be adopted.",12,,
25,0.97,133.833,139.539,"Hearing no objection, the agenda is adopted.",13,,
26,0.97,139.539,141.474,At this time we will move into public comments.,13,,
27,0.97,141.474,150.683,"For we open up public comment, I ask your participation as I learned to moderate the system.",13,,
28,0.97,150.683,154.153,I will moderate in the following manner.,13,,
29,0.97,154.153,156.022,Each Speaker will be given two minutes to speak.,13,,
30,0.97,156.022,161.561,I will call on each Speaker I name and in the order in which they registered on the Council Website.,13,,
31,0.97,161.561,175.275,"If you do not, if you are not registered to speak and you would like to do so you can sign up before the end of the public comment period by going onto the Council Website.",13,,
